	Sample Number: S01	Sample Number: S02	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S07	Sample Number: S08	Sample Number: S09	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S13	Sample Number: S14	Sample Number: S15	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S20	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S25	Sample Number: S26	Sample Number: S27	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S31	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44	Sample Number: S45	Sample Number: S46	Sample Number: S47	Sample Number: S48	Sample Number: S49	Sample Number: S50	Sample Number: S51	Sample Number: S52	Sample Number: S53	Sample Number: S54	Sample Number: S55	Sample Number: S56	Sample Number: S57	Sample Number: S58	Sample Number: S59	Sample Number: S60	Sample Number: S61	Sample Number: S62	Sample Number: S63	Sample Number: S64	Sample Number: S65	Sample Number: S66	Sample Number: S67	Sample Number: S68	Sample Number: S69	Sample Number: S70	Sample Number: S71	Sample Number: S72	Sample Number: S73	Sample Number: S74	Sample Number: S75	Sample Number: S76	Sample Number: S77	Sample Number: S78	Sample Number: S79	Sample Number: S80	Sample Number: S81	Sample Number: S82	Sample Number: S83	Sample Number: S84
faec	91.58	91.58	91.58	91.58	91.58	91.58	91.58	91.58	0	91.58	0	91.58	91.58	91.58	91.58	91.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faed	96.6	96.6	96.6	96.6	96.6	96.6	96.6	96.6	0	96.6	0	96.6	96.6	96.6	96.6	96.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faee	91.25	91.25	91.25	91.25	91.25	91.25	91.25	91.25	0	91.25	0	91.25	91.25	91.25	91.25	91.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faef	86.59	86.59	86.59	86.59	86.59	86.59	86.59	86.59	0	86.59	0	86.59	86.59	86.59	86.59	86.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faeh	98.37	98.37	98.37	98.37	98.37	98.37	98.37	98.37	0	98.37	0	98.37	98.37	98.37	98.37	98.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faei	97.65	97.65	97.65	97.65	97.65	97.65	97.65	97.65	0	97.65	0	97.65	97.65	97.65	97.65	97.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
farb	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	69.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcl	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56.52	56.52	56.52	99.04	99.04	99.04	99.04	99.04	98.94	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	99.04	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	98.56	97.5	97.5	97.5	97.5	97.5
fepa	99.02	99.11	99.24	99.11	99.02	99.11	99.11	99.02	99.38	99.02	99.38	99.11	99.11	99.11	99.11	99.02	98.97	98.97	99.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepb	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	90.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepc	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	96.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepd	98.33	98.33	98.33	98.33	98.33	98.33	98.33	98.33	99.31	98.33	99.31	98.33	98.33	98.33	98.33	98.33	98.53	98.53	98.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepg	91.44	91.44	91.44	91.44	91.44	91.44	91.44	91.44	91.54	91.44	91.54	91.44	91.44	91.44	91.44	91.44	91.54	91.54	91.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fes	96.92	96.92	96.92	96.92	96.92	96.92	96.92	96.92	96.84	96.92	96.84	96.92	96.92	96.92	96.92	96.92	96.84	96.84	96.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimc	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimd	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimf	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimh	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimi	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.02	89.76	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.83	99.88	99.88	99.88	99.83	99.88	99.88	99.88	99.88	99.88	99.83	99.88	99.83	99.88	99.88	99.88
flab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	99.94	100	100	100	100	99.94	100	100	100	100	100	99.94	100	100	100	100	100	100	100	100	100	100	99.94	100	99.94	100	100	100	100	99.94	100	100	99.94	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flag	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgb	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	96.62	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgc	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	96.79	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgd	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	64.93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.89	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgf	99.47	99.47	99.47	99.47	99.47	99.47	99.6	99.47	99.47	99.47	99.47	99.47	99.47	99.47	99.47	99.47	99.47	99.47	99.88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgg	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	99.69	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgh	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	80.85	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgi	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	96.1	95.73	95.73	95.73	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgj	82.14	82.14	0	82.14	82.14	82.14	82.14	82.14	0	82.14	0	82.14	82.14	82.14	82.14	82.14	82.14	82.14	82.14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.42	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flgs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	99.9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flha	99.28	99.28	99.04	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	99.28	100	100	100	100	100	100	100	99.95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95	100	99.95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flhb	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	96.01	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flhc	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	95.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flhd	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	78.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flhf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.93	99.86	99.86	99.86	99.86	99.93	99.86	99.93	99.86	99.86	99.86	99.93	99.86	99.86	99.79	99.93	99.93	99.93	99.86	99.86	99.86	99.86	99.86	99.79	99.93	99.93	99.93	99.86	99.93	99.86	99.93	99.93	99.79	99.86	99.93	99.93	99.79	99.86	99.86	99.93	99.86	99.86	99.73	99.86	99.93	99.79	99.86	99.86	99.73	99.93	99.79	99.86	99.86	99.86	99.79	99.93	99.86	99.93	99.93	99.93	99.93	99.93	99.86	99.93	99.93
flhg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flia	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95	100	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07
flie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flif	80.89	80.89	80.89	80.89	80.89	80.89	80.89	80.89	81.13	80.89	81.13	80.89	80.89	80.89	80.89	80.89	81.13	81.13	81.13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flig	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.9	100	100	100	100	100	100	100	100	100	100	100	100	99.9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flih	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.31	51.31	51.31	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flii	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	99.93	100	99.93	99.93	100	100	100	100	100	100	100	99.93	100	99.93	100	100	99.93	100	100	100	100	100	100	100	99.93	100	99.93	100	99.93	100	100	99.93	100	100	100	99.93	100	100	100	99.93	100	99.93	99.78	99.93	99.93	100	100	99.78	99.93	100	100	100	100	100	100	100	100	99.93	100	99.93	99.93	100	100	100	99.93
flik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.78	99.78	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.83	99.83	99.78	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78	99.78	99.83	81.41	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78	99.78	99.78	99.78	99.83	99.78	99.78	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78
flil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flim	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	100	100	100	100	100	99.91	100	100	100	99.91	99.91	100	99.91	100	100	99.91	100	99.91	100	100	100	100	100	100	100	99.91	100	100	100	100	100	100	99.91	100	100	99.91	100	100	100	100	100	100	100	100	99.91	99.91	100	100	100	100	100	100	99.91	99.91	100	99.91	100	100	100	100	100	100	100	100	100
flin	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	100	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68
flip	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliq	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flir	64.75	64.75	64.75	64.75	64.75	64.75	64.75	64.75	62.58	64.75	62.58	64.75	64.75	64.75	64.75	64.75	64.75	64.75	64.75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	99.87	100	100	100	99.87	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	99.61
flis	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	99.74	100	100	100	99.74	100	100	100	100	100	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	100	100	99.74	99.74	99.74	99.74	99.74	100	99.74	100	99.74	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fyua	100	100	100	100	100	100	100	100	0	100	0	100	100	100	99.95	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galu	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
