Sample ID	Spiked pathogen species	Spiked pathogen subspecies	Spiked pathogen strains	Species found in PathoGFAIR Taxonomy profiling	Salmonella enterica Subspecies found in PathoGFAIR Taxonomy profiling	Salmonella enterica Strains found in PathoGFAIR gene-based pathogen identification (VF genes product)	Relative abundance (%) of the expected subspecies in PathoGFAIR Taxonomy profiling	PathoGFAIR species result	PathoGFAIR subspecies result	Species found by IDseq (CZID)	Subspecies found by IDseq (CZID)	IDseq (CZID) species result	IDseq (CZID) subspecies result
Spike3bBarcode10	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (1%),  Salmonella enterica subsp. VII (0.3%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (6%)		93	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3bBarcode11	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (82%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	82	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3bBarcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (85%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (7%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike3bBarcode13	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)		50	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3bBarcode14	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (68%), Salmonella enterica subsp. enterica (10%),  Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (15%)		68	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike3bBarcode15	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (53%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (7%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode01	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (0.1%),  Salmonella enterica subsp. VII (0.1%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (7%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	93	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode02	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (6%)		94	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode03	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (6%)		94	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode04	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (6%)		96	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
