key	S46-Mix(5:5:5): 5x S.Houtenea + 5x S.enterica + 5x S.Salamae	S45-Mix(10:1:1): 10x S.Houtenea + 1x S.enterica + 1x S.Salamae	S31-S.Enterica(1:E+3 dilution step)	S27-S.Salamae+enrichment	S26-S.Houtenae+enrichment	S25-S.Enterica+enrichment	S20-S.Houtenae+enrichment+Chicken Depletion	S15-S.Salamae+enrichment	S14-S.Houtenae+enrichment	S13-S.Enterica+enrichment	S09-S.Salamae+enrichment	S08-S.Houtenae+enrichment	S07-S.Enterica+enrichment	S02-S.Houtenae+enrichment	S01-S.Enterica+enrichment
msbA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
mucD	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
mucP	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
ompA	0	0	0	0	0	0	0	1	1	2	1	1	2	0	1
orgA	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1
orgB	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1
orgC	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1
papX	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
pcrD	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pcrH	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pcrR	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pcrV	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pefA	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
pefB	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
pefC	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
pefD	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
pilG	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pilH	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pilI	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pilJ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pilT	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pilW	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1
pipB	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
pipB2	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
pla	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
popB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
popN	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
prgH	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
prgI	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
prgJ	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
prgK	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
pscB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscC	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscD	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscF	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscG	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscI	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscJ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscK	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
pscL	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscN	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscQ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscR	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscS	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscT	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pscU	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvcA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
pvdA	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvdE	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvdH	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
pvdL	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
pvdM	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvdO	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvdP	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
pvdQ	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
pvdS	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ratB	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
rck	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
rfaD	0	0	0	1	0	0	0	1	1	2	1	1	2	0	1
rfaE	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1
rffG	0	1	0	0	1	0	0	1	0	1	0	0	2	0	2
ricA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
shdA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
shuA	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0
sicA	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
sicP	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
sifA	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1
sifB	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
sinH	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
sipA/sspA	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
sipB/sspB	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
sipC/sspC	0	0	1	1	0	0	0	1	1	1	2	1	1	1	1
sipD	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
slrP	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
sodB	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1
sodCI	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
sopA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
sopB/sigD	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1
sopD	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1
sopD2	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
sopE2	0	0	0	0	1	0	0	2	2	1	2	2	1	1	1
spaO	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
spaP	0	0	1	1	0	0	0	1	1	2	1	1	2	1	1
spaQ	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
spaR	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
spaS	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1
spiC/ssaB	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sptP	0	0	1	1	1	0	0	1	1	1	2	1	1	1	1
spvB	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
spvC	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
spvR	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
